Figures of the American West
"·       African Americans in the American Old West‎ (1 C, 28 P)"
·       American frontier painters‎ (9 P)
"·       American people of the Indian Wars‎ (4 C, 122 P)"
·       Bison hunters‎ (19 P)
"·       People of the California Gold Rush‎ (1 C, 242 P)"
"·       California pioneers‎ (1 C, 81 P)"
"·       Crazy Horse‎ (1 C, 11 P)"
"·       Earp family‎ (1 C, 11 P)"
"·       Gunslingers of the American Old West‎ (1 C, 143 P)"
"·       United States Indian agents‎ (1 C, 97 P)"
"·       Lawmen of the American Old West‎ (4 C, 107 P)"
"·       Métis in the United States‎ (3 C, 11 P)"
·       Montana pioneers‎ (19 P)
·       Mormon pioneers‎ (327 P)
"·       Mountain men‎ (2 C, 82 P, 2 F)"
"·       Native American people of the Indian Wars‎ (6 C, 140 P)"
"·       Oregon pioneers‎ (2 C, 223 P)"
"·       Outlaws of the American Old West‎ (6 C, 182 P)"
"·       People of the Klondike Gold Rush‎ (1 C, 81 P)"
·       Pony Express riders‎ (14 P)
·       Rough Riders‎ (26 P)
·        Alfred Shea Addis
·        Ah Toy
·        Josephine Airey
·        John Judson Ames
·        Susan Anderson
·        Anti Horse Thief Association
·        James Averell
·        Elfego Baca
·        Bald Knobbers
·        Antonine Barada
·        Maria Gertrudis Barceló
·        Roy Bean
·        Big Nose Kate
·        Black Beaver
·        James Black (blacksmith)
·        Mattie Blaylock
·        William H. Boring
·        Sarah A. Bowman
·        John Bozeman
·        Kootenay Brown
·        Sam Brown (frontiersman)
·        Théophile Bruguier
·        Julia Bulette
·        Martha Bullock
·        Ned Buntline
·        Arizona John Burke
·        John Butterfield (businessman)
·        Cairook
·        Mathew Caldwell
·        Yiorgos Caralambo
·        Lemuel Carpenter
·        Kit Carson
·        Nate Champion
·        Jean Baptiste Charbonneau
·        Chato (Apache)
·        Francisco Xavier Chaves
·        Chihuahua (chief)
·        John Chisum
·        George Chorpenning
·        Ned Christie
·        W. H. H. Clayton
·        John Clum
·        Cochise
·        Phil Coe
·        List of cowboys and cowgirls
·        John Wallace Crawford
·        Crazy Horse
·        Edward S. Curtis
·        Lottie Deno
·        Diamond Tooth Lil
·        Anton Docher
·        Dora DuFran
·        Eleanor Dumont
·        Paul Eagle Star
·        Newton Earp
·        Nicholas Porter Earp
·        Philip Leget Edwards
·        E. B. Farnum
·        Mary Fields
·        Thomas Fitch (politician)
·        Oscar Penn Fitzgerald
·        Flying Hawk
·        Albert Jennings Fountain
·        Otto Franc
·        Louisa Frederici
·        Alfred A. Freeman
·        Geronimo
·        Mary Gleim
·        George E. Goodfellow
·        Charles Goodnight
·        Josiah Gregg
·        Hi Jolly
·        William Thomas Hamilton (frontiersman)
·        John C. Handy
·        Lansford Hastings
·        Valery Havard
·        John Coffee Hays
·        John Healy (entrepreneur)
·        George Hearst
·        Boone Helm
·        Brewster Higley
·        Homoseh quahote
·        Frank Hopkins
·        William Jefferson Hunsaker
·        Henry Inman (U.S. Army officer and author)
·        Irataba
·        William C. Irvine (politician)
·        Texas Jack Jr.
·        Joseph James and Joseph James Jr.
·        Tom Jeffords
·        Turkey Creek Jack Johnson
·        Mollie Johnson
"·        Charles ""Buffalo"" Jones"
·        Marietta Judah
·        K'aayelii
·        Edward Kern
·        Seth Kinman
·        Sarah Kirby-Stark
·        James Kirker
·        Abraham Klauber
·        Conrad Kohrs
·        Rudolf Friedrich Kurz
·        Nathaniel P. Langford
·        Jack Langrishe
·        Octaviano Ambrosio Larrazolo
·        Kitty Leroy
·        Ben Lilly
·        Little Big Man
·        Loco (Apache)
·        Oliver Loving
·        Joseph Lowe
·        Susan Shelby Magoffin
·        Manuelito
·        Biddy Mason
·        Martha Gay Masterson
·        Lucien Maxwell
·        Joe Mayer
·        William Mayfield
·        Joseph McCoy
·        Donald McKay (scout)
·        Alexander McSween
·        Susan McSween
·        Joseph Meek
·        A. W. Merrick
·        Alfred Jacob Miller
·        California Joe Milner
·        Della Moore
·        Marquis de Morès
·        Esther Hobart Morris
·        Mother Damnable
·        John Muir
·        William John Murphy
·        Nesjaja Hatali
·        Olive Oatman
·        Texas Jack Omohundro
·        Isaac Charles Parker
·        Charley Parkhurst
·        Duke Paul Wilhelm of Württemberg
·        Allan Pinkerton
·        Poker Alice
·        Fannie Porter
·        Jerry Potts
·        William Pywell
·        Rain-in-the-Face
·        Red Cloud
·        Red Horse (Lakota chief)
·        Brushy Bill Roberts
·        Aaron Y. Ross
·        Julia Ann Rudolph
·        Levi Ruggles
·        Andrew J. Russell
·        Sager orphans
·        Wilbur F. Sanders
·        George Scarborough (cowboy)
·        Ed Schieffelin
·        Sedona Schnebly
·        Sha-có-pay
·        William Rufus Shafter
·        Red Shirt (Oglala)
·        Mattie Silks
·        Sitting Bull
·        Henry Weston Smith
·        Society of California Pioneers
·        Andrew Jackson Sowell
·        Wells Spicer
·        Sol Star
·        Pearl Starr
·        John B. Stetson
·        William Barstow Strong
·        Granville Stuart
·        Stuart's Stranglers
·        Al Swearengen
·        Trinidad Swilling
·        Baby Doe Tabor
·        Horace Tabor
·        John and Elizabeth Tallman
·        Libby Thompson
·        Thomas Tipton Thornburgh
·        Three Guardsmen
·        Tio-van-du-ah
·        William Sloan Tough
·        Tuba (chief)
·        Davis Tutt
·        Charlie Utter
·        Pearl de Vere
·        Maria Rosa Villalpando
·        William A. A. Wallace
·        John Ware (cowboy)
·        Ellen Watson
·        Ora Rush Weed
·        Western lifestyle
·        Henry Wickenburg

